iter	Passed	Remaining
0	85	42807
1	172	43051
2	249	41324
3	319	39564
4	392	38892
5	472	38903
6	557	39243
7	637	39199
8	715	39048
9	805	39484
10	900	40050
11	973	39604
12	1055	39553
13	1134	39369
14	1208	39089
15	1285	38891
16	1358	38584
17	1444	38672
18	1514	38345
19	1592	38221
20	1673	38176
21	1749	38004
22	1823	37821
23	1910	37896
24	1986	37749
25	2063	37610
26	2140	37493
27	2220	37428
28	2301	37381
29	2369	37124
30	2440	36929
31	2507	36671
32	2590	36656
33	2668	36569
34	2755	36604
35	2829	36464
36	2917	36505
37	2995	36420
38	3038	35918
39	3109	35764
40	3176	35556
41	3246	35401
42	3324	35333
43	3406	35305
44	3490	35290
45	3573	35273
46	3648	35163
47	3717	35008
48	3798	34960
49	3876	34889
50	3935	34649
51	4031	34733
52	4129	34824
53	4217	34831
54	4294	34749
55	4370	34653
56	4456	34633
57	4535	34561
58	4616	34509
59	4700	34472
60	4780	34403
61	4858	34320
62	4929	34194
63	5020	34199
64	5105	34164
65	5177	34044
66	5247	33912
67	5326	33841
68	5425	33888
69	5514	33876
70	5585	33746
71	5673	33724
72	5755	33666
73	5839	33616
74	5918	33536
75	6007	33516
76	6087	33443
77	6175	33411
78	6267	33399
79	6349	33333
80	6426	33245
81	6479	33029
82	6523	32773
83	6593	32652
84	6663	32532
85	6749	32493
86	6838	32462
87	6924	32421
88	6980	32237
89	7063	32180
90	7144	32111
91	7219	32018
92	7299	31946
93	7379	31873
94	7443	31733
95	7523	31663
96	7616	31643
97	7697	31574
98	7785	31536
99	7857	31428
100	7937	31356
101	8023	31305
102	8110	31259
103	8196	31209
104	8269	31107
105	8355	31058
106	8443	31012
107	8527	30951
108	8592	30824
109	8637	30624
110	8716	30545
111	8797	30477
112	8836	30261
113	8908	30164
114	8990	30099
115	9054	29972
116	9130	29890
117	9214	29828
118	9286	29733
119	9367	29664
120	9443	29580
121	9526	29516
122	9596	29413
123	9683	29361
124	9787	29363
125	9868	29290
126	9955	29238
127	10040	29179
128	10096	29035
129	10173	28954
130	10256	28889
131	10325	28784
132	10395	28684
133	10464	28583
134	10543	28506
135	10624	28436
136	10698	28346
137	10786	28294
138	10867	28224
139	10947	28151
140	10998	28002
141	11076	27925
142	11152	27843
143	11241	27792
144	11319	27714
145	11424	27700
146	11510	27640
147	11590	27566
148	11657	27462
149	11733	27379
150	11816	27310
151	11894	27231
152	11971	27150
153	12038	27047
154	12124	26985
155	12217	26940
156	12266	26798
157	12348	26729
158	12419	26635
159	12501	26565
160	12582	26492
161	12658	26411
162	12736	26333
163	12814	26253
164	12887	26165
165	12962	26081
166	13046	26015
167	13114	25916
168	13194	25841
169	13267	25755
170	13336	25658
171	13418	25589
172	13490	25499
173	13593	25467
174	13684	25413
175	13769	25348
176	13854	25283
177	13940	25218
178	14027	25155
179	14103	25073
180	14190	25010
181	14273	24939
182	14342	24844
183	14429	24780
184	14502	24694
185	14582	24617
186	14667	24550
187	14740	24462
188	14827	24398
189	14906	24321
190	14995	24259
191	15083	24195
192	15163	24120
193	15246	24048
194	15326	23972
195	15421	23919
196	15506	23849
197	15578	23760
198	15664	23693
199	15756	23634
200	15840	23564
201	15911	23473
202	15994	23400
203	16075	23324
204	16156	23249
205	16245	23184
206	16333	23119
207	16423	23055
208	16509	22986
209	16590	22910
210	16669	22831
211	16752	22758
212	16828	22675
213	16917	22609
214	17002	22538
215	17081	22458
216	17174	22397
217	17260	22327
218	17339	22248
219	17420	22171
220	17498	22090
221	17583	22018
222	17664	21941
223	17749	21870
224	17835	21798
225	17929	21737
226	18012	21662
227	18083	21573
228	18158	21488
229	18242	21415
230	18323	21338
231	18413	21270
232	18507	21208
233	18592	21135
234	18674	21058
235	18759	20985
236	18835	20902
237	18920	20828
238	18983	20730
239	19069	20658
240	19155	20586
241	19234	20506
242	19322	20436
243	19409	20363
244	19519	20316
245	19624	20262
246	19718	20197
247	19801	20121
248	19897	20056
249	19992	19992
250	20080	19920
251	20167	19847
252	20252	19772
253	20329	19689
254	20413	19613
255	20490	19529
256	20578	19457
257	20671	19389
258	20740	19298
259	20821	19220
260	20897	19135
261	20980	19058
262	21065	18982
263	21136	18894
264	21220	18817
265	21305	18742
266	21400	18674
267	21484	18598
268	21558	18513
269	21638	18433
270	21723	18356
271	21791	18266
272	21884	18197
273	21972	18123
274	22052	18043
275	22139	17968
276	22226	17893
277	22315	17820
278	22398	17742
279	22485	17666
280	22562	17584
281	22647	17507
282	22729	17428
283	22806	17345
284	22882	17262
285	22971	17188
286	23057	17112
287	23135	17030
288	23222	16954
289	23305	16876
290	23377	16790
291	23453	16706
292	23531	16624
293	23601	16536
294	23674	16451
295	23763	16377
296	23856	16306
297	23943	16229
298	24026	16151
299	24111	16074
300	24197	15997
301	24291	15925
302	24364	15841
303	24452	15765
304	24540	15689
305	24618	15607
306	24704	15530
307	24788	15452
308	24874	15375
309	24957	15296
310	25046	15221
311	25126	15140
312	25213	15063
313	25297	14984
314	25367	14898
315	25466	14828
316	25550	14750
317	25628	14667
318	25714	14590
319	25795	14510
320	25880	14432
321	25969	14355
322	26041	14270
323	26123	14190
324	26208	14112
325	26293	14034
326	26380	13956
327	26448	13869
328	26540	13794
329	26623	13715
330	26708	13636
331	26790	13556
332	26883	13481
333	26976	13407
334	27056	13326
335	27128	13241
336	27213	13162
337	27291	13080
338	27372	12999
339	27458	12921
340	27550	12846
341	27636	12767
342	27719	12687
343	27794	12604
344	27886	12528
345	27971	12449
346	28054	12369
347	28140	12291
348	28230	12214
349	28316	12135
350	28408	12059
351	28491	11979
352	28574	11899
353	28667	11823
354	28759	11746
355	28848	11668
356	28937	11591
357	29023	11512
358	29103	11430
359	29188	11350
360	29277	11273
361	29353	11190
362	29428	11106
363	29520	11029
364	29617	10954
365	29713	10878
366	29810	10803
367	29906	10727
368	29998	10650
369	30086	10571
370	30188	10496
371	30289	10422
372	30390	10347
373	30490	10272
374	30573	10191
375	30654	10109
376	30737	10028
377	30833	9951
378	30914	9869
379	30993	9787
380	31075	9705
381	31162	9626
382	31252	9547
383	31337	9466
384	31426	9387
385	31507	9305
386	31603	9227
387	31688	9147
388	31768	9065
389	31853	8984
390	31936	8903
391	32021	8822
392	32109	8742
393	32194	8661
394	32288	8582
395	32367	8500
396	32442	8417
397	32515	8333
398	32592	8250
399	32667	8166
400	32751	8085
401	32837	8005
402	32913	7922
403	32995	7840
404	33095	7763
405	33204	7687
406	33302	7609
407	33393	7529
408	33481	7449
409	33564	7367
410	33650	7286
411	33752	7209
412	33860	7132
413	33965	7055
414	34049	6973
415	34132	6892
416	34218	6810
417	34315	6731
418	34402	6650
419	34493	6570
420	34573	6487
421	34653	6405
422	34735	6322
423	34820	6241
424	34905	6159
425	34996	6079
426	35092	5999
427	35175	5917
428	35264	5836
429	35350	5754
430	35436	5673
431	35529	5592
432	35619	5511
433	35714	5431
434	35795	5348
435	35884	5267
436	35971	5185
437	36059	5104
438	36152	5023
439	36239	4941
440	36326	4859
441	36409	4777
442	36487	4694
443	36569	4612
444	36634	4527
445	36713	4445
446	36801	4363
447	36888	4281
448	36973	4199
449	37062	4118
450	37145	4035
451	37241	3954
452	37318	3871
453	37402	3789
454	37493	3708
455	37580	3626
456	37644	3542
457	37727	3459
458	37812	3377
459	37901	3295
460	37993	3214
461	38073	3131
462	38154	3049
463	38241	2967
464	38323	2884
465	38406	2802
466	38491	2719
467	38575	2637
468	38669	2555
469	38745	2473
470	38816	2389
471	38908	2308
472	38982	2225
473	39052	2142
474	39142	2060
475	39227	1977
476	39324	1896
477	39409	1813
478	39498	1731
479	39586	1649
480	39669	1566
481	39756	1484
482	39837	1402
483	39911	1319
484	39993	1236
485	40073	1154
486	40155	1071
487	40243	989
488	40319	906
489	40400	824
490	40481	742
